articolomusicale,giri,condizionecopertina,condizionedisco
AB123456,45,buono,pessimo
GH456789,45,ottimo,buono
MN789012,33,pessimo,pessimo
ST012345,45,ottimo,buono
YZ345679,33,buono,ottimo
FE678902,33,pessimo,pessimo
LK901235,33,buono,ottimo
RQ234569,33,pessimo,pessimo
XW567802,33,ottimo,ottimo
BD890135,45,buono,buono
EG123469,45,pessimo,pessimo
HJ456792,33,ottimo,pessimo
KM789025,45,buono,buono
NP012358,33,pessimo,pessimo
QS345692,45,ottimo,ottimo
TV678925,45,ottimo,ottimo
WY901258,45,pessimo,ottimo
ZA234581,33,buono,ottimo
FG567814,33,pessimo,ottimo
LM890147,33,buono,buono
RS123470,45,pessimo,ottimo
XY456703,45,ottimo,ottimo
EF789036,33,pessimo,buono
KL012369,45,pessimo,pessimo
QR345692,33,pessimo,ottimo
WX678925,45,ottimo,ottimo
DC901258,45,ottimo,buono
JI234581,33,pessimo,ottimo
PO567814,33,pessimo,pessimo
VU890147,45,ottimo,buono
AC123470,33,pessimo,ottimo
DF456703,33,buono,buono
GI789036,33,pessimo,pessimo
JL012369,45,pessimo,buono